spe.ID	VOC_id	VOC_counts	VOC_name
ACH2	VOC_029	292200.3439	1-Propene, 2-methyl-3-(1-methylethoxy)-
ACH2	VOC_030	0	1-Propene, 3,3-dichloro-
ACH2	VOC_031	0	1H-Indazol-5-amine, 3-methyl-
ACH2	VOC_032	0	1H-Indene, octahydro-2,2,4,4,7,7-hexamethyl-, trans-
ACH2	VOC_033	0	1H-Indole, 5-fluoro-
ACH2	VOC_034	0	1H-Pyrazole, 4,5-dihydro-4,5-dimethyl-
ACH2	VOC_035	0	1H-Tetrazol-5-amine
ACH2	VOC_036	0	2(5H)-Furanone, 5-(2-hydroxyethylidene)-
ACH2	VOC_037	0	2,2'-(2,2'-Oxybis(ethane-2,1-diyl)bis(oxy))bis(ethane-2,1-diyl) bis(3-methylbutanoate)
ACH2	VOC_038	0	2,2'-Oxybis(ethane-2,1-diyl) bis(2-methylbutanoate)
ACH2	VOC_039	0	2,2-Diethoxyacetophenone
ACH2	VOC_040	0	2,3-Butanediol, [R-(R*,R*)]-
ACH2	VOC_041	0	2,3-Dimethyldodecane
ACH2	VOC_042	0	2,4,6-Trimethyl-1,5-diazabicyclo[3.1.0]hexane
ACH2	VOC_043	0	2,5-Dimethylpyrimidine
ACH2	VOC_044	0	2,6-Bis(2-methylpropyl)pyrazine
ACH2	VOC_045	0	2,6-Dimethyl-6-nitro-2-hepten-4-one
ACH2	VOC_046	0	2,6-Octadiene, 3,7-dimethyl-1-(2-propenyloxy)-
ACH2	VOC_047	0	2,9-Diazabicyclo[4.4.0]decane, cis-
ACH2	VOC_048	0	2-(1-Cyclopentenyl)furan
ACH2	VOC_049	0	2-(1H-Pyrazol-3-yl)acetaldehyde
ACH2	VOC_050	0	2-(5-Furan-2-yl-[1,3,4]oxadiazol-2-ylsulfanyl)-N,N-dimethyl-acetamide
ACH2	VOC_051	0	2-(Trimethylacetyl)thiophene
ACH2	VOC_052	0	2-Amino-4-methyl-oxazole
ACH2	VOC_053	0	2-Butanamine, 3,3-dimethyl-
ACH2	VOC_054	0	2-Butene ozonide
ACH2	VOC_055	0	2-Butenoic acid, 2-methyl-, 1-methylethyl ester, (Z)-
ACH2	VOC_056	0	2-Butenoic acid, 3-methyl-, 2-methylpropyl ester
ACH2	VOC_057	0	2-Chloro 5-chloromethylthiophene
ACH2	VOC_058	0	2-Chlorobenzimidazole
ACH2	VOC_059	0	2-Decene, 7-methyl-, (Z)-
ACH2	VOC_060	0	2-Ethyl-1-hexanol, methyl ether
ACH2	VOC_061	0	2-Ethyl-1-hexanol, trifluoroacetate
ACH2	VOC_062	0	2-Heptanol, 5-ethyl-
ACH2	VOC_063	0	2-Hexanone, 3-methyl-4-methylene-
ACH2	VOC_064	0	2-Hexenoic acid
